"input","z","raw_value","median","q05","q95"
"GCPU_baseline",1.375,1.85844850440117,0.0243367556496419,-0.238854335447072,0.303884355185097
"GCPU_baseline",1.5,2.00491473777356,0.0305600059969336,-0.244784567502172,0.329766646379011
"GCPU_baseline",1.625,2.15138097114595,0.0401421320925508,-0.252551154154465,0.357522302637729
"GCPU_baseline",1.75,2.29784720451835,0.0441486818974415,-0.263815454200123,0.377367998500879
"GCPU_baseline",1.875,2.44431343789074,0.0490769380434374,-0.269586349359531,0.398593397657493
"GCPU_baseline",2,2.59077967126313,0.0550351592090372,-0.27989983256285,0.417946050755961
"GCPU_baseline",2.125,2.73724590463553,0.061053086709069,-0.284945546466732,0.435769234868607
"GCPU_baseline",2.25,2.88371213800792,0.0648563112684081,-0.292660804973905,0.453192650013219
"GCPU_baseline",2.375,3.03017837138031,0.0708403615940009,-0.296861025345972,0.468432077784726
"GCPU_baseline",2.5,3.17664460475271,0.0744904888570237,-0.308942363266049,0.475268764898577
"l_t",-2.5,-2.26760217266904,-0.151273733964379,-0.462727385661956,0.168225178995652
"l_t",-2.375,-2.11780597618002,-0.150194782366877,-0.456700209351551,0.162403688909062
"l_t",-2.25,-1.96800977969099,-0.150515927586744,-0.447359669426,0.154390751461419
"l_t",-2.125,-1.81821358320196,-0.147871769972103,-0.431605136017903,0.146120352690202
"l_t",-2,-1.66841738671293,-0.145277658078638,-0.42278725609809,0.134046485341859
"l_t",-1.875,-1.51862119022391,-0.14354899895937,-0.413053434263883,0.121846362086653
"l_t",-1.75,-1.36882499373488,-0.138945037424711,-0.397250221201692,0.111380483329378
"l_t",-1.625,-1.21902879724585,-0.13577129936132,-0.390291517546371,0.100231123449461
"l_t",-1.5,-1.06923260075682,-0.133547588667857,-0.374396998442247,0.0903395537730557
"l_t",-1.375,-0.919436404267798,-0.128931423427629,-0.366140740436602,0.0825784090074064
"l_t",-1.25,-0.76964020777877,-0.124119338875318,-0.35017520525081,0.0810028383952492
"l_t",-1.125,-0.619844011289743,-0.119135536768322,-0.334158875273657,0.0783408874133508
"l_t",-1,-0.470047814800716,-0.112210978164866,-0.32129102868755,0.0809275408884992
"l_t",-0.875,-0.320251618311689,-0.103223395967939,-0.306091737472566,0.0837048628991226
"l_t",-0.75,-0.170455421822662,-0.0956128023175491,-0.294953383933097,0.0899985594502499
"l_t",-0.625,-0.0206592253336344,-0.0854953149583344,-0.281479735852031,0.0927322988065122
"l_t",-0.5,0.129136971155393,-0.0764320407556845,-0.265358216320366,0.101490718942686
"l_t",-0.375,0.27893316764442,-0.0631198086258524,-0.251099453695237,0.108352293302807
"l_t",-0.25,0.428729364133447,-0.0496003492755256,-0.233546630247103,0.117261728851116
"l_t",-0.125,0.578525560622474,-0.0360423238815118,-0.216159268099722,0.125334194996877
"l_t",0,0.728321757111502,-0.0181900372976134,-0.193875676927126,0.142046045834245
"l_t",0.125,0.878117953600529,-0.00298176545879165,-0.172768127421543,0.158912045591998
"l_t",0.25,1.02791415008956,0.0158386368749749,-0.155587262773773,0.178657638638036
"l_t",0.375,1.17771034657858,0.0295544851778735,-0.139816507542732,0.189728851530045
"l_t",0.5,1.32750654306761,0.0431979829568189,-0.123446597136501,0.210006703736148
"l_t",0.625,1.47730273955664,0.0568335178185204,-0.109007472428771,0.231897287350734
"l_t",0.75,1.62709893604566,0.0715974391211985,-0.0961721134912368,0.256061411055549
"l_t",0.875,1.77689513253469,0.0860461085061441,-0.087047987879869,0.277945666218245
"l_t",1,1.92669132902372,0.0970151440233896,-0.0857808079248331,0.305050380204261
"l_t",1.125,2.07648752551275,0.110945080701582,-0.0799311047260248,0.329400015444175
"l_t",1.25,2.22628372200177,0.121849671388768,-0.0801923099191512,0.353352858673448
"l_t",1.375,2.3760799184908,0.130624022438899,-0.0864595314202296,0.379878099437761
"l_t",1.5,2.52587611497983,0.140095977572347,-0.0923867867073581,0.402131296300117
"l_t",1.625,2.67567231146886,0.146648205037672,-0.100123425348156,0.426899059084925
"l_t",1.75,2.82546850795788,0.156106095243863,-0.106843409837135,0.451468242307271
"l_t",1.875,2.97526470444691,0.160854860680127,-0.115348353475192,0.474053369369687
"l_t",2,3.12506090093594,0.167748374052242,-0.125261380092904,0.492857489495493
"l_t",2.125,3.27485709742496,0.173892901932574,-0.133735157480795,0.506885049792795
"l_t",2.25,3.42465329391399,0.177374547245447,-0.143481620904374,0.526551051128201
"l_t",2.375,3.57444949040302,0.183832612411229,-0.145890395006408,0.541784865998372
"l_t",2.5,3.72424568689205,0.19033624262775,-0.149325574020425,0.556461169195094
"c_t",-2.5,-2.38598863706145,0.00844271096238677,-0.392399215221192,0.418692392664719
"c_t",-2.375,-2.26867965747291,0.00864386066548557,-0.38775259123391,0.405988441345239
"c_t",-2.25,-2.15137067788436,0.00883844273252651,-0.373331430833986,0.390585649036927
"c_t",-2.125,-2.03406169829582,0.00819736261802986,-0.362130730431053,0.373851027591467
"c_t",-2,-1.91675271870728,0.00742998142186527,-0.353275037354463,0.360741439877472
"c_t",-1.875,-1.79944373911874,0.00547430909023953,-0.341147117242168,0.348930648320808
"c_t",-1.75,-1.6821347595302,0.00599962218189791,-0.328284824669098,0.337732173537683
"c_t",-1.625,-1.56482577994166,0.00228030172638999,-0.314648677806758,0.316804393364359
"c_t",-1.5,-1.44751680035312,0.002397168323933,-0.303472570082287,0.299103822988229
"c_t",-1.375,-1.33020782076458,-8.17764157913722e-05,-0.289426501847904,0.2792758680179
