"scenario","K","tau_w_scale","parameter","true_value","posterior_median","posterior_sd","lower_95","upper_95","inside_95","bias","bias_frac","z"
"main",4,0.35,"nu",10,20.8154043127921,13.1929044929639,7.83873273029581,57.1857608797172,TRUE,10.8154043127921,1.08154043127921,0.819789479910223
"main",4,0.35,"g_sd",0.156539656318963,0.142887700391763,0.0306103492458953,0.0960088973452855,0.215944107581605,TRUE,-0.0136519559271997,-0.0872108464284775,-0.445991511483013
"main",4,0.35,"h_bar",1.03446347320351,1.1098813066406,0.0869290674459311,0.927492392240593,1.26909220843607,TRUE,0.0754178334370874,0.0729052647973492,0.867579000361375
"strong",4,0.35,"mu",-1.51062441079145,-1.50254347861422,0.282326465207159,-2.01123387495794,-0.897920588284099,TRUE,0.00808093217722994,-0.00534939864568729,0.0286226520468087
"strong",4,0.35,"phi",0.95,0.940116917402605,0.0157665417921612,0.907284110436597,0.96965119834886,TRUE,-0.00988308259739512,-0.0104032448393633,-0.62683895604227
"strong",4,0.35,"sigma_eta",0.25,0.306673705128911,0.0564146601995817,0.207260666756158,0.427804206718247,TRUE,0.0566737051289111,0.226694820515644,1.00459180164186
"strong",4,0.35,"nu",10,19.7933629996013,12.9270223335401,7.44284458455878,56.7433838917695,TRUE,9.79336299960131,0.979336299960131,0.75758846445184
"strong",4,0.35,"g_sd",0.40370775992311,0.368899303229001,0.0352609022622337,0.305619578728111,0.444189609547551,TRUE,-0.034808456694109,-0.0862219163207035,-0.987168633270929
"strong",4,0.35,"h_bar",-1.65468615609226,-1.58752966936217,0.0893888849969085,-1.77291649959429,-1.42265714844785,TRUE,0.067156486730086,-0.0405856340084963,0.751284533109553
"main",4,0.5,"mu",1.1376975408664,1.137419960009,0.435579441957621,0.523260483435306,2.18455259373661,TRUE,-0.000277580857395376,-0.000243984756426553,-0.000637268040355273
"main",4,0.5,"phi",0.95,0.949568542517431,0.0244761833354701,0.896451877278581,0.991199868599299,TRUE,-0.000431457482569231,-0.000454165771125506,-0.0176276454811473
"main",4,0.5,"sigma_eta",0.25,0.257092972669919,0.0608886623949073,0.143832607342327,0.383946331897378,TRUE,0.00709297266991876,0.028371890679675,0.116490860382441
